Date,Close
3/10/2020 16:00:00,13.76
3/11/2020 16:00:00,12.71
3/12/2020 16:00:00,10.7
3/13/2020 16:00:00,12.73
3/16/2020 16:00:00,11.61
3/17/2020 16:00:00,11.25
3/18/2020 16:00:00,9.7
3/19/2020 16:00:00,10.14
3/20/2020 16:00:00,10
3/23/2020 16:00:00,9.33
3/24/2020 16:00:00,11.25
3/25/2020 16:00:00,11.62
3/26/2020 16:00:00,12.4
3/27/2020 16:00:00,11.88
3/30/2020 16:00:00,10.96
3/31/2020 16:00:00,10.5
4/1/2020 16:00:00,9.8
4/2/2020 16:00:00,10.36
4/3/2020 16:00:00,10.4
4/6/2020 16:00:00,11.75
4/7/2020 16:00:00,12.41
4/8/2020 16:00:00,12.9
4/9/2020 16:00:00,12.86
4/13/2020 16:00:00,13.29
4/14/2020 16:00:00,13.35
4/15/2020 16:00:00,12.91
4/16/2020 16:00:00,12.59
4/17/2020 16:00:00,13.03
4/20/2020 16:00:00,12.98
4/21/2020 16:00:00,12.75
4/22/2020 16:00:00,12.99
4/23/2020 16:00:00,13.57
4/24/2020 16:00:00,13.42
4/27/2020 16:00:00,13.6
4/28/2020 16:00:00,14.2
4/29/2020 16:00:00,14.81
4/30/2020 16:00:00,13.95
5/1/2020 16:00:00,13.7
5/4/2020 16:00:00,13.97
5/5/2020 16:00:00,13.6
5/6/2020 16:00:00,12.93
5/7/2020 16:00:00,14.02
5/8/2020 16:00:00,15.01
5/11/2020 16:00:00,14.62
5/12/2020 16:00:00,14.57
5/13/2020 16:00:00,13.61
5/14/2020 16:00:00,14
5/15/2020 16:00:00,13.76
5/18/2020 16:00:00,15.34
5/19/2020 16:00:00,14.51
5/20/2020 16:00:00,15.61
5/21/2020 16:00:00,15.42
5/22/2020 16:00:00,15.12
5/26/2020 16:00:00,16.01
5/27/2020 16:00:00,16.56
5/28/2020 16:00:00,16.39
5/29/2020 16:00:00,16.51
6/1/2020 16:00:00,16.33
6/2/2020 16:00:00,17.11
6/3/2020 16:00:00,17.33
6/4/2020 16:00:00,17.15
6/5/2020 16:00:00,17.75
6/8/2020 16:00:00,19.06
6/9/2020 16:00:00,18.67
6/10/2020 16:00:00,17.26
6/11/2020 16:00:00,15.63
6/12/2020 16:00:00,15.94
6/15/2020 16:00:00,16.35
6/16/2020 16:00:00,16.84
6/17/2020 16:00:00,16.1
6/18/2020 16:00:00,16.11
6/19/2020 16:00:00,15.49
6/22/2020 16:00:00,15.35
6/23/2020 16:00:00,15.54
6/24/2020 16:00:00,14.31
6/25/2020 16:00:00,14.95
6/26/2020 16:00:00,14.7
6/29/2020 16:00:00,14.85
6/30/2020 16:00:00,15.39
7/1/2020 16:00:00,15.41
7/2/2020 16:00:00,15.41
7/6/2020 16:00:00,15.51
7/7/2020 16:00:00,15.22
7/8/2020 16:00:00,15.52
7/9/2020 16:00:00,14.65
7/10/2020 16:00:00,15.05
7/13/2020 16:00:00,15.06
7/14/2020 16:00:00,15.56
7/15/2020 16:00:00,15.6
7/16/2020 16:00:00,15.39
7/17/2020 16:00:00,15.27
7/20/2020 16:00:00,15.05
7/21/2020 16:00:00,16.31
7/22/2020 16:00:00,16.46
7/23/2020 16:00:00,16.69
7/24/2020 16:00:00,16.37
7/27/2020 16:00:00,16.33
7/28/2020 16:00:00,15.87
7/29/2020 16:00:00,15.81
7/30/2020 16:00:00,15.33
7/31/2020 16:00:00,15.49
8/3/2020 16:00:00,15.63
8/4/2020 16:00:00,16.19
8/5/2020 16:00:00,16.76
