Date,Close
3/10/2017 16:00:00,40.26
3/13/2017 16:00:00,40.96
3/14/2017 16:00:00,40.02
3/15/2017 16:00:00,41.12
3/16/2017 16:00:00,40.72
3/17/2017 16:00:00,40.54
3/20/2017 16:00:00,40.54
3/21/2017 16:00:00,39.8
3/22/2017 16:00:00,39.34
3/23/2017 16:00:00,39.09
3/24/2017 16:00:00,38.8
3/27/2017 16:00:00,38.88
3/28/2017 16:00:00,39.62
3/29/2017 16:00:00,41.22
3/30/2017 16:00:00,41.45
3/31/2017 16:00:00,41.72
4/3/2017 16:00:00,42.03
4/4/2017 16:00:00,42.49
4/5/2017 16:00:00,41.52
4/6/2017 16:00:00,42.88
4/7/2017 16:00:00,42.54
4/10/2017 16:00:00,43.06
4/11/2017 16:00:00,42.52
4/12/2017 16:00:00,41.87
4/13/2017 16:00:00,40.65
4/17/2017 16:00:00,41.01
4/18/2017 16:00:00,40.53
4/19/2017 16:00:00,39.25
4/20/2017 16:00:00,39.7
4/21/2017 16:00:00,39.73
4/24/2017 16:00:00,39.82
4/25/2017 16:00:00,40.59
4/26/2017 16:00:00,40.59
4/27/2017 16:00:00,39.35
4/28/2017 16:00:00,39.49
5/1/2017 16:00:00,39.31
5/2/2017 16:00:00,38.85
5/3/2017 16:00:00,38.17
5/4/2017 16:00:00,36.98
5/5/2017 16:00:00,38.02
5/8/2017 16:00:00,38.16
5/9/2017 16:00:00,37.89
5/10/2017 16:00:00,38.54
5/11/2017 16:00:00,37.95
5/12/2017 16:00:00,37.86
5/15/2017 16:00:00,38.16
5/16/2017 16:00:00,37.92
5/17/2017 16:00:00,37.35
5/18/2017 16:00:00,36.9
5/19/2017 16:00:00,38.39
5/22/2017 16:00:00,38.08
5/23/2017 16:00:00,37.82
5/24/2017 16:00:00,37.13
5/25/2017 16:00:00,35.73
5/26/2017 16:00:00,35.82
5/30/2017 16:00:00,34.49
5/31/2017 16:00:00,33.98
6/1/2017 16:00:00,34.27
6/2/2017 16:00:00,33.13
6/5/2017 16:00:00,33.05
6/6/2017 16:00:00,33.9
6/7/2017 16:00:00,31.92
6/8/2017 16:00:00,31.49
6/9/2017 16:00:00,32.58
6/12/2017 16:00:00,32.72
