,107
0,0.9925318585750882
1,1.0387259944625593
2,1.0491106073455092
3,1.025238280451701
4,1.0473343769670445
5,1.074656086002165
6,0.9604428916114234
7,1.0062531381449151
8,1.0630664411584574
9,1.1207314123042433
10,0.9774874312057906
11,1.0454050539621822
12,1.0387269145341875
13,1.0162509230417798
14,1.0467899894552437
15,1.1538336816962407
16,1.007913750394803
17,0.941242954287209
18,1.0282206016568745
19,1.054264641981155
20,1.036370002700131
21,1.059495136751308
22,1.015785556604969
23,1.042507837629494
24,1.0972854176250837
25,1.0813722713430303
26,1.0482645691374233
27,0.9616767804697807
28,1.1312295680346527
29,1.080408568794754
30,1.0603884168682085
31,1.0307189843826159
32,1.036607310488609
33,1.0655492394267712
34,1.0710873817688127
35,1.0342672758779743
36,1.0051149479174541
37,1.1176025231187257
38,1.0734830094361774
39,0.9558205472544488
40,0.9797181619075409
41,1.064895582085646
42,0.9762130488866492
43,0.9843457262733787
44,1.030134355048979
45,1.063773641636315
46,1.040914262596885
47,1.0606515072704703
48,1.1452123917386865
49,0.999400211410901
50,1.0744340371798615
51,1.0291567104600845
52,1.098686801958678
53,1.1012560075255227
54,1.0101989915183984
55,1.1449567791266937
56,0.9551682650939192
57,1.096679761083901
58,1.0292000672440482
59,1.0210882798927616
60,0.9960722390347193
61,1.0303670077355167
62,1.1069612530800839
63,1.118288124498943
64,0.9528645963447079
65,1.0620221261257277
66,1.0435820661343111
67,1.0110547042112625
68,1.0047764554150092
69,0.9894891735288837
70,0.9739461388794807
71,1.1359804435564713
72,1.1119270586886267
73,1.008456561232315
74,1.1265600738615043
75,1.0589781842009918
76,1.0892334811396742
77,0.9630166401232506
78,1.0134441179531686
79,1.0438648568686828
80,0.9521446341346416
81,1.04633303132005
82,0.9154139676012866
83,0.9204870126815416
84,1.0056468293866532
85,0.9617967489276029
86,0.9822065207011088
87,1.017185883929732
88,1.114764065968345
89,1.0597829802633405
90,0.9172381202711409
91,1.0545063084771862
92,1.066033640788047
93,0.9402861564680508
94,1.0411722037320814
95,1.0471259129375816
96,0.9641772673400465
97,0.9986322913465412
98,0.974229241817797
99,1.0002139600072488
100,1.0930907041957432
101,1.0529177845452447
102,0.978655237860154
103,1.0521804944138144
104,1.0128759141754606
105,1.007447303027157
106,1.009224730889726
107,0.9753028597656348
108,1.040956479609109
109,1.0403926669712054
110,1.1121543524653308
111,1.0162011694663848
112,0.9266080030159531
113,1.0507004714699557
114,1.0308501868339102
115,1.042934642041853
116,0.9699748092088838
117,0.9771139414686072
118,1.0980104732370373
119,1.0695591606720787
120,0.9919807909212496
121,1.0339191827680803
122,1.1591836535672468
123,1.0698309538160689
124,1.0809255573167789
125,0.9835887179080698
126,1.0927993030212944
127,0.9912306036211502
128,0.9556505850418129
129,1.1028587883224235
130,1.0681321387647165
131,1.025037762713252
132,1.041245814598823
133,1.06969061346636
134,1.03035630352626
135,1.0150117297823167
136,0.9750880433109473
137,1.026864071001837
138,1.1212346657608825
