Ticker,Company,Industry,Shares,Value,Weight
AAPL,Apple,Tech,245,89.4,44
BAC,Bank of America,Banks,925,22,10.8
KO,Coke,Consumer Packaged Goods,400,17.8,9
AXP,Amex,Payments,151,14.4,7.3
WFC,Wells Fargo,Banks,237,6,3
KHC,Kraft Heinz,Consumer Packaged Goods,325,10,5
JPM,JP Morgan Chase,Banks,22,2,1
USB,US Bancorp,Banks,132,4.8,2.4
MCO,Moody's,Capital Markets,24,6.7,3.3
DAL,Delta,Airlines,0,0,0
BK,NY Mellon Bank,Banks,72,2.7,1.4
LUV,Southwest,Airlines,0,0,0
DVA,DaVita,Healthcare,38,3,1.5
GS,Goldman Sachs,Banks,0,0,0
GM,General Motors,Vehicles,75,1.8,0.9
VISA,Visa,Payments,10,1.9,0.9
UAL,United,Airlines,0,0,0
AMZN,Amazon,Tech,0.53,1.4,0.73
COST,Cotsco,Retail,4.3,1.3,0.65
