Date,Close
3/10/17,39.09
3/13/17,39.03
3/14/17,39.14
3/15/17,39.59
3/16/17,39.61
3/17/17,39.61
3/20/17,39.09
3/21/17,39.05
3/22/17,39.32
3/23/17,39.22
3/24/17,39.22
3/27/17,39.17
3/28/17,39.35
3/29/17,39.84
3/30/17,39.89
3/31/17,39.54
4/3/17,39.17
4/4/17,38.35
4/5/17,37.97
4/6/17,38.4
4/7/17,38.05
4/10/17,38.01
4/11/17,38.49
4/12/17,38.55
4/13/17,38.41
4/17/17,38.24
4/18/17,38.42
4/19/17,38.45
4/20/17,39.09
4/21/17,39.28
4/24/17,39.31
4/25/17,39.39
4/26/17,39.46
4/27/17,39.49
4/28/17,39.32
5/1/17,38.83
5/2/17,39.46
5/3/17,39.57
5/4/17,39.49
5/5/17,39.35
5/8/17,39.25
5/9/17,39.49
5/10/17,40.36
5/11/17,39.74
5/12/17,38.66
5/15/17,38.45
5/16/17,36.88
5/17/17,37.39
5/18/17,37.24
5/19/17,37.14
5/22/17,37.65
5/23/17,37.2
5/24/17,36.99
5/25/17,37.69
5/26/17,37.77
5/30/17,37.42
5/31/17,37.6
6/1/17,37.95
6/2/17,37.61
6/5/17,37.52
6/6/17,36.99
6/7/17,37.1
6/8/17,36.39
6/9/17,36.84
6/12/17,36.89
6/13/17,36.96
6/14/17,36.59
6/15/17,36.27
6/16/17,36.22
6/19/17,36.17
6/20/17,35.09
6/21/17,34.7
6/22/17,34.38
6/23/17,34.64
6/26/17,34.97
6/27/17,34.98
6/28/17,35.71
6/29/17,35.54
6/30/17,36.09
7/3/17,35.78
7/5/17,35.59
7/6/17,35.15
7/7/17,35.17
7/10/17,34.34
7/11/17,34.3
7/12/17,34.47
7/13/17,34.99
7/14/17,34.9
7/17/17,35.18
7/18/17,34.98
7/19/17,35.15
7/20/17,34.8
7/21/17,34.46
7/24/17,33.45
7/25/17,34.35
7/26/17,34.24
7/27/17,34.82
7/28/17,34.8
7/31/17,35.16
8/1/17,35.36
8/2/17,35.26
8/3/17,34.8
8/4/17,35.08
8/7/17,35.34
8/8/17,35.75
8/9/17,35.63
8/10/17,35.13
8/11/17,35.53
8/14/17,34.81
8/15/17,35.08
8/16/17,35.8
8/17/17,35.13
8/18/17,35.24
8/21/17,35.73
8/22/17,35.8
8/23/17,35.8
8/24/17,35.45
8/25/17,35.84
8/28/17,35.9
8/29/17,35.74
8/30/17,36.03
8/31/17,36.15
9/1/17,36.19
9/5/17,36.17
9/6/2017 16:00:00,36.52
9/7/2017 16:00:00,36.46
9/8/2017 16:00:00,36.2
9/11/2017 16:00:00,36.42
9/12/2017 16:00:00,36.77
9/13/2017 16:00:00,36.74
9/14/2017 16:00:00,36.6
9/15/2017 16:00:00,36.87
9/18/2017 16:00:00,36.71
9/19/2017 16:00:00,36.42
9/20/2017 16:00:00,36.21
9/21/2017 16:00:00,36.41
9/22/2017 16:00:00,36.23
9/25/2017 16:00:00,36.92
9/26/2017 16:00:00,36.89
9/27/2017 16:00:00,37.08
9/28/2017 16:00:00,36.98
9/29/2017 16:00:00,36.87
10/2/2017 16:00:00,36.7
10/3/2017 16:00:00,36.91
10/4/2017 16:00:00,36.83
10/5/2017 16:00:00,36.91
10/6/2017 16:00:00,36.8
10/9/2017 16:00:00,36.52
10/10/2017 16:00:00,36.13
10/11/2017 16:00:00,36.28
10/12/2017 16:00:00,35.89
10/13/2017 16:00:00,36.03
10/16/2017 16:00:00,35.59
10/17/2017 16:00:00,35.9
10/18/2017 16:00:00,35.65
10/19/2017 16:00:00,35.71
10/20/2017 16:00:00,36.05
10/23/2017 16:00:00,36.1
10/24/2017 16:00:00,35.87
10/25/2017 16:00:00,35.72
10/26/2017 16:00:00,35.74
10/27/2017 16:00:00,35.27
10/30/2017 16:00:00,34.67
10/31/2017 16:00:00,34.9
11/1/2017 16:00:00,34.86
11/2/2017 16:00:00,35.1
11/3/2017 16:00:00,34.3
11/6/2017 16:00:00,34.12
11/7/2017 16:00:00,34.15
11/8/2017 16:00:00,33.99
11/9/2017 16:00:00,34.63
11/10/2017 16:00:00,35.11
11/13/2017 16:00:00,35.38
11/14/2017 16:00:00,33.97
11/15/2017 16:00:00,34.52
11/16/2017 16:00:00,34.53
11/17/2017 16:00:00,35.51
11/20/2017 16:00:00,35.6
11/21/2017 16:00:00,35.62
11/22/2017 16:00:00,35.28
11/24/2017 13:00:00,35.44
11/27/2017 16:00:00,35.48
11/28/2017 16:00:00,36.33
11/29/2017 16:00:00,37.39
11/30/2017 16:00:00,37.78
12/1/2017 16:00:00,37.67
12/4/2017 16:00:00,38.5
12/5/2017 16:00:00,37.8
12/6/2017 16:00:00,37.53
12/7/2017 16:00:00,36.92
12/8/2017 16:00:00,36.94
12/11/2017 16:00:00,36.65
12/12/2017 16:00:00,36.81
12/13/2017 16:00:00,36.95
12/14/2017 16:00:00,36.71
12/15/2017 16:00:00,37.09
12/18/2017 16:00:00,37.74
12/19/2017 16:00:00,38.03
12/20/2017 16:00:00,37.9
12/21/2017 16:00:00,38.15
12/22/2017 16:00:00,38.13
12/26/2017 16:00:00,38.73
12/27/2017 16:00:00,38.49
12/28/2017 16:00:00,38.19
12/29/2017 16:00:00,38.23
1/2/2018 16:00:00,38.35
1/3/2018 16:00:00,37.66
1/4/2018 16:00:00,37.72
1/5/2018 16:00:00,38.58
1/8/2018 16:00:00,37.83
1/9/2018 16:00:00,37.75
1/10/2018 16:00:00,38.14
1/11/2018 16:00:00,38.44
1/12/2018 16:00:00,39.14
1/16/2018 16:00:00,38.3
1/17/2018 16:00:00,38.29
