Date,Close
3/10/2020 16:00:00,20.77
3/11/2020 16:00:00,19.62
3/12/2020 16:00:00,15.84
3/13/2020 16:00:00,16.12
3/16/2020 16:00:00,11.65
3/17/2020 16:00:00,10.13
3/18/2020 16:00:00,9.79
3/19/2020 16:00:00,10.74
3/20/2020 16:00:00,9.78
3/23/2020 16:00:00,9.17
3/24/2020 16:00:00,12.75
3/25/2020 16:00:00,13.93
3/26/2020 16:00:00,13.14
3/27/2020 16:00:00,12.59
3/30/2020 16:00:00,11.79
3/31/2020 16:00:00,11.56
4/1/2020 16:00:00,10.23
4/2/2020 16:00:00,10.15
4/3/2020 16:00:00,11.34
4/6/2020 16:00:00,12.55
4/7/2020 16:00:00,13.24
4/8/2020 16:00:00,14.58
4/9/2020 16:00:00,14.93
4/13/2020 16:00:00,13.71
4/14/2020 16:00:00,14.07
4/15/2020 16:00:00,12.62
4/16/2020 16:00:00,12.24
4/17/2020 16:00:00,13.78
4/20/2020 16:00:00,12.54
4/21/2020 16:00:00,12.06
4/22/2020 16:00:00,10.19
4/23/2020 16:00:00,10.63
4/24/2020 16:00:00,10.31
4/27/2020 16:00:00,11.5
4/28/2020 16:00:00,12.58
4/29/2020 16:00:00,12.78
4/30/2020 16:00:00,11.89
5/1/2020 16:00:00,12
5/4/2020 16:00:00,12.04
5/5/2020 16:00:00,11.62
5/6/2020 16:00:00,10.99
5/7/2020 16:00:00,11.18
5/8/2020 16:00:00,12.22
5/11/2020 16:00:00,11.53
5/12/2020 16:00:00,11.24
5/13/2020 16:00:00,10.6
5/14/2020 16:00:00,10.48
5/15/2020 16:00:00,10.86
5/18/2020 16:00:00,12.77
5/19/2020 16:00:00,12.51
5/20/2020 16:00:00,12.22
5/21/2020 16:00:00,14.45
5/22/2020 16:00:00,15.08
5/26/2020 16:00:00,16.68
5/27/2020 16:00:00,17.2
5/28/2020 16:00:00,16.28
5/29/2020 16:00:00,16.19
6/1/2020 16:00:00,16.54
6/2/2020 16:00:00,16.8
6/3/2020 16:00:00,18.31
6/4/2020 16:00:00,17.85
6/5/2020 16:00:00,18.68
6/8/2020 16:00:00,19.31
6/9/2020 16:00:00,18.05
6/10/2020 16:00:00,17.46
6/11/2020 16:00:00,15.48
6/12/2020 16:00:00,15.65
6/15/2020 16:00:00,15.52
6/16/2020 16:00:00,16.14
6/17/2020 16:00:00,15.46
6/18/2020 16:00:00,15.62
6/19/2020 16:00:00,14.48
6/22/2020 16:00:00,14.65
6/23/2020 16:00:00,14.69
6/24/2020 16:00:00,13.86
6/25/2020 16:00:00,14.13
6/26/2020 16:00:00,13.86
6/29/2020 16:00:00,15.12
6/30/2020 16:00:00,14.97
7/1/2020 16:00:00,15.1
7/2/2020 16:00:00,15.11
7/6/2020 16:00:00,15.62
7/7/2020 16:00:00,15.15
7/8/2020 16:00:00,15.67
7/9/2020 16:00:00,15.52
7/10/2020 16:00:00,15.93
7/13/2020 16:00:00,16.39
7/14/2020 16:00:00,16.66
7/15/2020 16:00:00,18.04
7/16/2020 16:00:00,18.46
7/17/2020 16:00:00,18.5
7/20/2020 16:00:00,18.28
7/21/2020 16:00:00,18.87
7/22/2020 16:00:00,19.41
7/23/2020 16:00:00,19.36
7/24/2020 16:00:00,19.19
7/27/2020 16:00:00,19.16
7/28/2020 16:00:00,19.12
7/29/2020 16:00:00,25.88
7/30/2020 16:00:00,24.54
7/31/2020 16:00:00,24.41
8/3/2020 16:00:00,24.38
8/4/2020 16:00:00,24.95
8/5/2020 16:00:00,25.52
