Date,Close
3/10/20,239.06
3/11/20,221.21
3/12/20,198.54
3/13/20,207.06
3/16/20,161.54
3/17/20,154.6
3/18/20,128.52
3/19/20,146.99
3/20/20,148.06
3/23/20,143.24
3/24/20,177.59
3/25/20,191.88
3/26/20,188.83
3/27/20,174.45
3/30/20,179.71
3/31/20,175.7
4/1/20,161.5
4/2/20,161.35
4/3/20,156.74
4/6/20,188.68
4/7/20,187.55
4/8/20,200.57
4/9/20,202.48
4/13/20,202.6
4/14/20,205
4/15/20,201.52
4/16/20,208.92
4/17/20,215.51
4/20/20,208.07
4/21/20,201.57
4/22/20,208.71
4/23/20,210.68
4/24/20,210.52
4/27/20,208.09
4/28/20,218.68
4/29/20,226.16
4/30/20,217.92
5/1/20,214.28
5/4/20,215.48
5/5/20,218.21
5/6/20,218.27
5/7/20,222.16
5/8/20,230.07
5/11/20,230.36
5/12/20,211.9
5/13/20,197.61
5/14/20,200.97
5/15/20,200.45
5/18/20,212.57
5/19/20,210.22
5/20/20,213.48
5/21/20,222.76
5/22/20,220.62
5/26/20,237.98
5/27/20,251.63
5/28/20,243.31
5/29/20,244.01
6/1/20,239.09
6/2/20,241.22
6/3/20,252.3
6/4/20,247.98
6/5/20,252.08
6/8/20,254.57
6/9/20,244.68
6/10/20,238.41
6/11/20,225.88
6/12/20,226.63
6/15/20,225.49
6/16/20,225.9
6/17/20,223.65
6/18/20,218.97
6/19/20,212.19
6/22/20,205.49
6/23/20,206.7
6/24/20,200
6/25/20,194.2
6/26/20,189.99
6/29/20,198.63
6/30/20,203.42
7/1/20,203.57
7/2/20,203.59
7/6/20,209
7/7/20,202.93
7/8/20,202.02
7/9/20,192.3
7/10/20,195.99
7/13/20,192.71
7/14/20,191.94
7/15/20,203.81
7/16/20,203.18
7/17/20,203
7/20/20,200.06
7/21/20,201.96
7/22/20,205.44
7/23/20,205.64
7/24/20,203.71
7/27/20,198.84
7/28/20,197.56
7/29/20,203.02
7/30/20,198.61
7/31/20,192.99
8/3/20,191.29
8/4/20,198.49
8/5/20,201.96
