Date,Close
3/10/2017 16:00:00,55.36
3/13/2017 16:00:00,55.19
3/14/2017 16:00:00,54.75
3/15/2017 16:00:00,54.57
3/16/2017 16:00:00,54.59
3/17/2017 16:00:00,54.29
3/20/2017 16:00:00,54.37
3/21/2017 16:00:00,53.39
3/22/2017 16:00:00,53.58
3/23/2017 16:00:00,53.14
3/24/2017 16:00:00,53.12
3/27/2017 16:00:00,53.33
3/28/2017 16:00:00,53.6
3/29/2017 16:00:00,55.15
3/30/2017 16:00:00,55.25
3/31/2017 16:00:00,55.19
4/3/2017 16:00:00,54.03
4/4/2017 16:00:00,53.43
4/5/2017 16:00:00,52.75
4/6/2017 16:00:00,53.57
4/7/2017 16:00:00,53.24
4/10/2017 16:00:00,53.79
4/11/2017 16:00:00,53.71
4/12/2017 16:00:00,53.4
4/13/2017 16:00:00,53.39
4/17/2017 16:00:00,53.68
4/18/2017 16:00:00,53.6
4/19/2017 16:00:00,53.89
4/20/2017 16:00:00,54.64
4/21/2017 16:00:00,54.78
4/24/2017 16:00:00,54.82
4/25/2017 16:00:00,55.15
4/26/2017 16:00:00,55.98
4/27/2017 16:00:00,56.09
4/28/2017 16:00:00,55.85
5/1/2017 16:00:00,55.77
5/2/2017 16:00:00,56.16
5/3/2017 16:00:00,57.34
5/4/2017 16:00:00,57.29
5/5/2017 16:00:00,57.32
5/8/2017 16:00:00,57.3
5/9/2017 16:00:00,58.08
5/10/2017 16:00:00,58.41
5/11/2017 16:00:00,56.06
5/12/2017 16:00:00,55.8
5/15/2017 16:00:00,55.35
5/16/2017 16:00:00,54.53
5/17/2017 16:00:00,55.04
5/18/2017 16:00:00,55.83
5/19/2017 16:00:00,55.99
5/22/2017 16:00:00,55.46
5/23/2017 16:00:00,54.49
5/24/2017 16:00:00,54.13
5/25/2017 16:00:00,54.2
5/26/2017 16:00:00,54.4
5/30/2017 16:00:00,54.94
5/31/2017 16:00:00,55.15
6/1/2017 16:00:00,55.66
6/2/2017 16:00:00,55.52
6/5/2017 16:00:00,55.63
6/6/2017 16:00:00,54.58
6/7/2017 16:00:00,54.47
6/8/2017 16:00:00,54.63
6/9/2017 16:00:00,56.9
6/12/2017 16:00:00,57.87
6/13/2017 16:00:00,57.38
6/14/2017 16:00:00,57.86
6/15/2017 16:00:00,55.46
6/16/2017 16:00:00,52.61
6/19/2017 16:00:00,51.71
6/20/2017 16:00:00,50.91
6/21/2017 16:00:00,50.52
6/22/2017 16:00:00,50.63
6/23/2017 16:00:00,50.76
6/26/2017 16:00:00,51.48
6/27/2017 16:00:00,52.07
6/28/2017 16:00:00,52.06
6/29/2017 16:00:00,52.09
6/30/2017 16:00:00,52.29
7/3/2017 16:00:00,52.65
7/5/2017 16:00:00,52.16
7/6/2017 16:00:00,51.44
7/7/2017 16:00:00,51.07
7/10/2017 16:00:00,50.18
7/11/2017 16:00:00,50.41
7/12/2017 16:00:00,50.87
7/13/2017 16:00:00,53.31
7/14/2017 16:00:00,53.23
7/17/2017 16:00:00,53.73
7/18/2017 16:00:00,53.73
7/19/2017 16:00:00,54.1
7/20/2017 16:00:00,54.58
7/21/2017 16:00:00,54.84
7/24/2017 16:00:00,54.05
7/25/2017 16:00:00,55.1
7/26/2017 16:00:00,54.96
7/27/2017 16:00:00,56.05
7/28/2017 16:00:00,56.11
7/31/2017 16:00:00,56.67
8/1/2017 16:00:00,56.86
8/2/2017 16:00:00,56.8
8/3/2017 16:00:00,57.04
8/4/2017 16:00:00,57.58
8/7/2017 16:00:00,57.88
8/8/2017 16:00:00,58.74
8/9/2017 16:00:00,57.87
8/10/2017 16:00:00,55.64
8/11/2017 16:00:00,55.65
8/14/2017 16:00:00,55.79
8/15/2017 16:00:00,54.35
8/16/2017 16:00:00,56.31
8/17/2017 16:00:00,56.12
8/18/2017 16:00:00,55.65
8/21/2017 16:00:00,56.56
